id_sensor,avenida,barrio,timestamp,vehiculos,velocidad_promedio,nivel_congestion,latitud,longitud
5112,Corrientes,Palermo,2026-05-22 19:38:43.114330,751,45.82,Medio,-34.58701819573941,-58.42968139983551
2958,Callao,Recoleta,2026-05-22 19:40:43.114330,1350,36.43,Alto,-34.59188743318559,-58.39734854552358
7494,Paseo Colon,Constitucion,2026-05-22 19:42:43.114330,1079,47.81,Alto,-34.62328806348594,-58.38613410781685
1970,9 de Julio,Gral. San Martín,2026-05-22 19:44:43.114330,73,42.85,Bajo,34.34845944660139,58.32237100184288
2193,Libertador,Puerto Madero,2026-05-22 19:46:43.114330,396,30.69,Bajo,-34.61269574808711,-58.365866779126506
1435,Santa Fe,Constitucion,2026-05-22 19:48:43.114330,199,21.85,Bajo,-34.62559837634839,-58.379300548240316
2126,Santa Fe,Palermo,2026-05-22 19:50:43.114330,492,11.23,Medio,-34.58355342194671,-58.4299848192699
4645,Cabildo,Flores,2026-05-22 19:52:43.114330,815,33.18,Medio,-34.62855018770234,-58.46331997264203
1374,Santa Fe,Recoleta,2026-05-22 19:54:43.114330,1125,12.48,Alto,-34.58486524968375,-58.39679602711525
8412,Cabildo,Microcentro,2026-05-22 19:56:43.114330,94,37.77,Bajo,-34.599702746339325,-58.383832336318406
7116,Rivadavia,Belgrano,2026-05-22 19:58:43.114330,438,50.59,Medio,-34.562686120325836,-58.45438224887707
9419,Belgrano,Retiro,2026-05-22 20:00:43.114330,801,23.89,Medio,-34.59239664859675,-58.37253604485941
1090,Santa Fe,Puerto Madero,2026-05-22 20:02:43.114330,292,26.97,Bajo,-34.61393826159541,-58.36046642225818
7510,Santa Fe,Gral. San Martín,2026-05-22 20:04:43.114330,403,47.75,Medio,34.34168419094065,58.319787437814924
3068,Callao,Constitucion,2026-05-22 20:06:43.114330,328,12.39,Bajo,-34.629581256207054,-58.37807865720926
1329,Santa Fe,Retiro,2026-05-22 20:08:43.114330,1482,66.97,Alto,-34.59341105955304,-58.37651923439444
1281,25 de Mayo,Belgrano,2026-05-22 20:10:43.114330,250,15.72,Bajo,-34.557949356819485,-58.457881027598106
2463,Rivadavia,Gral. San Martín,2026-05-22 20:12:43.114330,869,63.53,Medio,34.34254969335939,58.321646422794785
2028,Cabildo,Puerto Madero,2026-05-22 20:14:43.114330,1160,19.58,Alto,-34.615186416284125,-58.363590299120624
7295,Cabildo,Microcentro,2026-05-22 20:16:43.114330,1013,43.64,Alto,-34.60112829442885,-58.386091881100775
3953,Callao,Microcentro,2026-05-22 20:18:43.114330,557,64.13,Medio,-34.60545243874362,-58.37796555364134
2891,Paseo Colon,Flores,2026-05-22 20:20:43.114330,1284,19.65,Alto,-34.634538130815834,-58.4614761544065
9152,Belgrano,Almagro,2026-05-22 20:22:43.114330,472,59.76,Medio,-34.60584244255746,-58.421654843571545
6117,Paseo Colon,Belgrano,2026-05-22 20:24:43.114330,889,60.07,Medio,-34.56663351679334,-58.45716376012886
